id_pelanggan,nomor_hp,nama_pelanggan,jenis_layanan,jenis_kartu,tanggal_registrasi,status_aktif
106,083127589551,Sandi Susanto,Prabayar,simPATI,2024-04-26,true
107,085271577871,Rizky Putra,Pascabayar,Loop,2022-06-25,false
108,081182723590,Kartika Handoko,Prabayar,Halo,2024-02-18,TRUE
109,085368342016,Fitri Nugroho,Pascabayar,Kartu As,2023-12-02,true
110,083131992550,Budi Andriani,Pascabayar,Halo,2022-11-05,false
111,082136829635,Ahmad Wijaya,Pascabayar,simPATI,2023-03-06,0
112,085151276528,Bambang Susanto,Pascabayar,simPATI,2022-11-30,
113,085398178904,Tari Pratama,Pascabayar,Halo,2024-05-11,false
114,  085144446306  ,Qori Putra,Pascabayar,Halo,2022-03-08,false
115,085226265826,Dewi Wahyudi,Pascabayar,Loop,2023-04-19,TRUE
116,083120981960,Umar Santoso,Prabayar,Kartu As,2022-09-25,1
117,081309117911,Kartika Kusuma,Pascabayar,simPATI,2022-10-18,false
118,082372240299,Tari Wibowo,Prabayar,simPATI,20220306,FALSE
119,081152312447,Nur Setiawan,Pascabayar,Kartu As,2023-02-13,false
120,083194237676,Sandi Pratama,Pascabayar,simPATI,2023-07-11,1
121,085156012562,Luki Firmansyah,Pascabayar,simPATI,2024-01-03,1
122,085249383184,Cindy Kusuma,Pascabayar,Halo,2022-06-03,TRUE
123,083163904090,Fira Surya,,Halo,2024-08-03,1
124,081285790647,Putri Wibowo,PRABAYAR,Kartu As,2024-10-07,0
125,082380040104,Fitri Setiawan,Prabayar,simPATI,2022-06-03,0
126,085139774573,Nur Saputra,Prabayar,Kartu As,2022-07-08,
127,085237153988,Gita Handoko,Prabayar,Loop,2023-10-04,FALSE
128,082262491271,Fajar Kusuma,Pascabayar,simPATI,2022-08-14,0
129,082251066343,Dewi Handoko,Prabayar,simPATI,"Apr 4, 2024",FALSE
130,082196661347,Ahmad Lestari,Pascabayar,Halo,2023-02-26,FALSE
131,081357207650,Rizky Hidayat,Prabayar,simPATI,2022-12-30,TRUE
132,085182211457,Luki Putra,Pascabayar,Loop,2024-10-01,true
133,081126325703,Kartika Saputra,Prabayar,Halo,2024-06-01,false
134,083164430985,Okta Wibowo,,Kartu As,2022-09-09,true
135,085341407034,Dodi Nugroho,Prabayar,Loop,2022-09-10,true
136,081336914307,Fitri Lestari,Prabayar,Loop,2023-12-28,true
137,081368344149,Fajar Lestari,Prabayar,Loop,2024-08-02,0
138,085212943985,Cindy Santoso,Pascabayar,Halo,2022-09-18,TRUE
139,082391497501,Kartika Pratama,Pascabayar,Kartu As,2024-11-12,TRUE
140,081210291813,Galih Setiawan,Prabayar,Kartu As,2023-02-23,true
141,085220223288,Galih Pratama,Pascabayar,Halo,2023-02-15,0
142,081296094097,Luki Handoko,Pascabayar,Loop,2022-03-29,false
143,081325957244,Zaki Kusuma,Prabayar,Loop,2024-03-17,1
144,081102311775,Sandi Kusuma,Prabayar,Halo,2023-04-20,TRUE
145,082390251762,Rizky Handoko,Prabayar,Kartu As,2023-02-14,TRUE
146,082369815287,Bagas Santoso,Prabayar,Halo,2023-01-25,true
147,082109850344,Nur Purnomo,Prabayar,Loop,2024-03-10,TRUE
148,081156435023,Joko Santoso,Prabayar,simPATI,2023-11-07,false
149,085324010783,Fitri Andriani,Prabayar,Kartu As,2023-12-19,
150,085262668217,Xena Wijaya,Pascabayar,simPATI,2022-08-30,true
151,081110272405,Budi Putra,Pascabayar,simPATI,2023-12-18,false
152,085345843845,Putri Putra,Pascabayar,Kartu As,2024-10-28,true
153,081137710704,Qori Rahayu,Pascabayar,Halo,2023-07-24,false
154,081185095493,Dewi Nugroho,Prabayar,Loop,2022-02-26,true
155,081367320441,Ayu Lestari,Pascabayar,simPATI,2023-05-27,1
156,081170705783,Vina Handoko,Pascabayar,Loop,2024-04-16,FALSE
157,083103102879,Eka Rahayu,,Loop,2023-10-12,TRUE
158,085113359561,Vina Pratama,Pascabayar,Loop,2024-05-23,FALSE
159,083101935889,Luki Rahayu,Prabayar,simPATI,2023-12-06,true
160,085281809788,Dian Andriani,Pascabayar,Loop,2024-06-22,false
161,081258815793,Tari Maulana,Prabayar,Kartu As,2024-07-08,TRUE
162,081397327021,Tari Saputra,Prabayar,simPATI,2024-05-07,true
163,081368341559,Umar Maulana,Pascabayar,Halo,2022-08-09,FALSE
164,081220995765,Edi Saputra,Prabayar,Halo,2024-06-17,FALSE
165,085149951542,Gita Susanto,Pascabayar,Kartu As,2022-08-31,true
166,081188307053,Sari Firmansyah,Pascabayar,simPATI,2023-08-01,FALSE
167,081231528547,Nur Maulana,Prabayar,Loop,2024-11-16,false
168,081396334727,Budi Putra,PRABAYAR,Kartu As,2023-01-19,true
169,082378243477,Edi Putra,Pascabayar,Kartu As,2024-03-14,1
170,081377963044,Putri Wibowo,Pascabayar,Halo,2024-11-05,TRUE
171,081147639283,Hendra Surya,Prabayar,Halo,2022-08-14,true
172,082158328634,Dewi Saputra,Prabayar,simPATI,"Nov 27, 2022",1
173,082216624111,Ika Wijaya,Prabayar,Halo,2024-10-30,1
174,082273149764,Sari Nugroho,Prabayar,Halo,2024-05-29,0
175,082175791452,Sari Wibowo,Prabayar,Halo,2022-06-21,TRUE
176,082252059960,Joko Susanto,Pascabayar,Halo,2023-07-04,false
177,081262028123,Ahmad Susanto,Pascabayar,Halo,2024-06-15,1
178,082395922483,Kartika Saputra,Prabayar,Halo!!,2024-01-31,TRUE
179,081287510979,Fajar Setiawan,Prabayar,Halo,2022-11-17,0
180,082119213424,Cindy Andriani,Pascabayar,,2022-07-29,FALSE
181,081327051028,Galih Rahayu,Prabayar,Halo,2024-06-19,1
182,081342687741,Fira Setiawan,Pascabayar,Kartu As,2024-06-10,TRUE
183,082109451548,Qori Saputra,Prabayar,Loop,2022-01-27,false
184,085327810509,Fira Handoko,Prabayar,simPATI,2022-11-10,FALSE
185,082329580660,Sari Surya,Prabayar,Kartu As,2022-05-14,TRUE
186,081257919711,Cindy Maulana,Prabayar,Kartu As,2022-07-05,FALSE
187,082206424295,Fajar Rahayu,Pascabayar,simPATI,2024-04-27,false
188,083162893654,Dodi Wijaya,Pascabayar,Loop,2023-03-01,true
189,081379559690,,Pascabayar,simPATI,2023-10-23,true
190,083179966734,Sari Handoko,Prabayar,simPATI,2024-02-04,0
191,081349839225,Dodi Saputra,Pascabayar,Kartu As,2022-04-21,FALSE
192,081232850725,Gita Susanto,Pascabayar,simPATI,2022-07-24,0
193,083168157903,Luki Susanto,Pascabayar,Kartu As,2022-12-31,TRUE
194,081344670462,Eka Susanto,Pascabayar,,2022-12-01,true
195,085366046419,Wawan Santoso,Pascabayar,Halo,2024-07-11,
196,082189760740,Edi Lestari,Pascabayar,Loop,2022-09-06,1
197,082340915086,Sari Handoko,Pascabayar,Halo,2023-05-25,false
198,081115502916,Dian Handoko,Pascabayar,Loop,2024-11-15,0
199,082249883059,Fajar Wahyudi,Prabayar,Halo,2024-08-26,0
200,082247951330,Tari Rahayu,Pascabayar,Loop,2023-10-27,1
201,081377382646,Putri Handoko,Pascabayar,Loop,2022-03-08,0
202,081395966048,Galih Wahyudi,Prabayar,simPATI,2024-10-02,false
203,082336945515,Cindy Susanto,Pascabayar,Kartu As,2024-10-25,true
204,081269666309,Wawan Hidayat,Pascabayar,Kartu As,2023-04-05,1
205,085183275327,Fira Wibowo,Pascabayar,Halo,2023-02-14,true
206,081337100687,Fira Surya,Prabayar,simPATI,N/A,false
207,085176112491,Qori Wibowo,Pascabayar,simPATI,2022-12-13,1
208,085349490228,Vina Surya,Prabayar,Halo,2023-08-14,FALSE
209,082230394290,Luki Wibowo,Pascabayar,Loop,2023-06-16,true
210,085172760153,Yudi Hidayat,Prabayar,Halo,20230926,false
211,081258148881,Andi Wibowo,Prabayar,Kartu As,2022-04-25,true
212,082112840333,Kartika Kusuma,Prabayar,simPATI,2024-09-04,true
213,083161739970,Dian Santoso,Pascabayar,Loop,2023-05-31,false
214,081227058772,Maya Handoko,Pascabayar,Kartu As,2023-01-02,1
215,085314939252,Nanda Saputra,Prabayar,Halo,2023-01-29,1
216,082252455574,Joko Purnomo!!,Pascabayar,,2024-05-21,FALSE
217,082305665883,Joko Nugroho,Prabayar,Halo,2023-03-17,0
218,082299601054,Yudi Putra,Prabayar,Halo,2024-01-27,true
219,082159848840,Fitri Handoko,Pascabayar,Halo,2022-10-15,FALSE
220,082249021666,Okta Setiawan,Pascabayar!!,Loop,2024-09-23,false
221,081281828197,Rizky Wahyudi,Pascabayar,Kartu As,2023-01-26,1
222,085294096003,Umar Santoso,Pascabayar,Kartu As,2023-10-23,false
223,081334210890,Citra Setiawan,Prabayar,Kartu As,2022-09-18,FALSE
224,085316073607,Sari Rahayu,Prabayar,simPATI,2024-06-17,false
225,082131857481!!,Nanda Susanto,Pascabayar,simPATI,2024-07-24,false
226,081145023290,Rini Purnomo,Prabayar,Loop,2022-09-20,FALSE
227,082312073465,CITRA HIDAYAT,Prabayar,Halo,2023-06-28,true
228,082331611776,Ahmad Santoso,Pascabayar,Loop,2024-06-20,false
229,082123822311,Yudi Wahyudi,Pascabayar,Loop,2024-04-07,false
230,081132020326!!,Andi Wibowo,Pascabayar,Loop,2023-10-23,true
231,082257871584,  Okta Hidayat  ,Pascabayar,Loop,2022-05-10,true
232,081368323035,Fitri Saputra,Pascabayar,Kartu As,2024-12-12,false
233,085196340646,Hendra Rahayu,Pascabayar,Loop,2024-12-04,TRUE
234,081372362669,Tari Rahayu,Prabayar,Kartu As,2023-02-01,
235,082281973741,Nur Saputra,Pascabayar,Loop,2024-07-19,false
236,082181199537,Yudi Nugroho,Pascabayar,Loop,2024-06-04,
237,083173964178,Yudi Putra,Prabayar,simPATI,2024-02-09,1
238,085205779806,Fira Susanto,Pascabayar,simPATI,2024-06-03,false
239,085305742388,Ika Lestari,Pascabayar,Kartu As,2023-10-22,TRUE
240,085326347557,Nanda Firmansyah,Pascabayar,Loop,2024-01-11,false
241,083164258562,Fitri Kusuma,Pascabayar,Loop,20240228,false
242,082133373204,Sari Purnomo,Prabayar,Halo,2023-05-15,false
243,085255358512,Qori Lestari,Prabayar,Halo,2023-10-21,FALSE
244,085349079779,Cindy Putra!!,Prabayar,Kartu As,2024-06-12,1
245,085362637484,Sari Firmansyah,Pascabayar,simPATI,2023-11-08,TRUE
246,081333922071,Ayu Susanto,Pascabayar,Halo,2023-11-11,1
247,085312463351,Umar Lestari,Prabayar,,2023-11-27,
248,081199512397,Rini Nugroho,Prabayar,Halo,2023-01-08,FALSE
249,083108144152,Vina Santoso,Pascabayar,Halo,2024-11-27,TRUE
250,082173605079,Qori Rahayu,Pascabayar,Loop,2022-07-22,false
251,081270715879,Umar Wibowo,Prabayar,simPATI,2024-03-07,true
252,085100463580,Nanda Wijaya,Prabayar,Kartu As,2024-06-07,FALSE
253,081106314035,Dian Firmansyah,Prabayar,Loop,2022-12-29,false
254,081166643749,Kartika Susanto,Prabayar,Kartu As,2022-01-22,1
255,082284494116,Joko Wibowo,Prabayar,Kartu As,2023-02-18,false
256,083157279083,  Ika Susanto  ,Pascabayar,Kartu As,2023-03-07,1
257,082157071398,Hendra Hidayat,Prabayar,Kartu As,13/8/2023,false
258,083106913098!!,Rini Santoso,Pascabayar,Halo,2022-06-01,0
259,085153242642,Citra Handoko,Pascabayar,Kartu As,2024-01-24,FALSE
260,085377675556,Tari Susanto,Prabayar,Loop,2022-09-30,0
261,085227187496,Maya Setiawan,Pascabayar,Kartu As,2022-04-15,false
262,083132657327,Citra Wibowo,Prabayar,SIMPATI,2023-10-10,1
263,082215959775,Citra Setiawan,Prabayar,Halo,2022-12-25,1
264,081371026767,Ika Pratama,Pascabayar,simPATI,2022-12-16,1
265,081329462135,Qori Kusuma,Pascabayar!!,Loop,2023-08-22,true
266,082320344765,Sari Purnomo,Pascabayar,,2022-03-24,0
267,085255866525,Andi Lestari,Prabayar,  simPATI  ,2023-06-20,TRUE
268,083131100591,Rizky Rahayu,Pascabayar,simPATI,2022-11-16,TRUE
269,085233016583,Fitri Santoso,Pascabayar,simPATI,2024-09-01,FALSE
270,082111325326,Bambang Wahyudi,Pascabayar,Loop,2023-08-31,0
271,085217015959,Dewi Firmansyah,Pascabayar,Halo,2022-05-15,true
272,085375677722,Putri Susanto,,Kartu As,2024-02-29,TRUE
273,082330762484,Citra Lestari,Prabayar,Loop,2023-04-12,0
274,085173670425,Citra Putra,Pascabayar,Kartu As,2023-09-29,0
275,082335748595,Ika Setiawan,Prabayar,Kartu As,3/2/2023,0
276,081287794176,Galih Surya,Prabayar,simPATI,2023-01-31,FALSE
277,082398339914,Nanda Purnomo,Pascabayar,simPATI,2022-05-05,TRUE
278,082372768297,Tari Kusuma,Pascabayar,Loop,2023-10-06,true
279,085280656259,Citra Surya,Prabayar,Halo,2022-03-12,true
280,082355165176,Ika Kusuma,Prabayar,simPATI,2022-05-08,TRUE
281,081137003322,Cindy Santoso,Pascabayar,Halo,2024-10-22,FALSE
282,082319582632,Yudi Santoso,Pascabayar,Loop,2022-01-16,TRUE
283,085398632106,Vina Santoso,Pascabayar,Loop,2022-08-07,true
284,085104032537,Joko Setiawan,Pascabayar,Kartu As,6/3/2024,true
285,081147692105,Budi Lestari,Pascabayar,simPATI,2023-03-17,FALSE
286,081301137984!!,Sari Purnomo,Pascabayar,Halo,2023-07-08,TRUE
287,082247340433,Andi Kusuma,Pascabayar,Kartu As,2024-07-06,TRUE
288,085125588255,Wawan Purnomo,Pascabayar,Halo,2024-04-13,TRUE
289,082377820582,Bagas Surya,Prabayar,Halo,2023-12-01,true
290,083104823571,Ayu Pratama,Pascabayar,Halo,2023-10-29,false
291,085117214364,Fajar Santoso,Prabayar,simPATI,2023-03-05,1
292,082256534699,Budi Firmansyah,Pascabayar,Halo,2024-09-06,TRUE
293,082370607174,Edi Firmansyah,Pascabayar,Halo,2022-07-08,0
294,081129087182,Tari Pratama,Prabayar,Halo,2024-08-06,TRUE
295,081221377306,Okta Susanto,Pascabayar,simPATI,2022-12-28,true
296,082360858167,Vina Purnomo,Pascabayar,Halo,2022-03-10,FALSE
297,083123785847,Dodi Kusuma,Prabayar,Kartu As,2022-05-17,true
298,082298042537,Nur Saputra,Pascabayar,simPATI,2023-03-14,TRUE
299,081336534606,Rizky_Wahyudi,Prabayar,Halo,2022-03-29,true
300,085290618120,Yudi Kusuma,Pascabayar,Loop,2024-01-27,0
301,083199275175,Edi Andriani,Pascabayar,Kartu As,2024-12-27,true
302,082386449639,Maya Setiawan,Pascabayar,Kartu As,2022-10-13,FALSE
303,085353674978,Okta Hidayat,  Pascabayar  ,Loop,2023-12-01,true
304,085234067917,Zaki Wahyudi,Prabayar,simPATI,2024-06-14,false
305,083100159446,Gita Wijaya,Pascabayar,Loop,2023-05-08,0
306,081319947113,Galih Santoso,,Loop,2024-04-12,0
307,085277269608,Ahmad Kusuma,Pascabayar,Halo,2023-07-11,false
308,085233556434,Rini Hidayat,Prabayar,simPATI,2023-04-18,0
309,081264534547,Vina Susanto,Prabayar,Loop,2022-11-20,FALSE
310,082218472426,Cindy Wijaya,Prabayar,simPATI,2023-07-25,false
311,085223039111,Cindy Purnomo,Pascabayar,,2023-07-06,1
312,085106220722,Sari Saputra,Prabayar,Kartu As,N/A,
313,085368868785,Wawan Saputra,Pascabayar,simPATI,2024-04-09,true
314,082250573036,Rini Wibowo,Pascabayar,Kartu As,2022-10-29,false
315,081360321450,Gita Handoko,Pascabayar,Halo,2023-12-19,TRUE
316,085120128400,Fajar Nugroho!!,Pascabayar,Loop,2024-11-09,0
317,081189812657,Umar Saputra,Pascabayar,  Loop  ,2023-07-02,0
318,085194301204,Citra Susanto,Pascabayar,Loop,2024-09-15,1
319,082382984933,Cindy Surya,Pascabayar,Loop,2022-02-15,FALSE
320,081318856669,Ika Handoko,Prabayar,simPATI,2023-11-10,0
321,081243776936,Okta Maulana,Prabayar,simPATI,2024-05-30,FALSE
322,081300720245,Yudi Kusuma,Prabayar,simPATI,2024-01-02,FALSE
323,082294981942,Yudi Pratama,Prabayar,Loop,2022-05-14,false
324,085144663453,VINA MAULANA,Prabayar,Kartu As,2023-05-08,false
325,085261894370,Ika Purnomo,Pascabayar,Halo,2024-01-16,1
326,082392024617,Nanda Susanto,Pascabayar,,2023-11-17,1
327,081117833258,Qori Surya,Prabayar,simPATI,2023-07-15,true
328,082250691767,Wawan Wijaya,Prabayar,,2023-04-18,FALSE
329,085206014886,Vina Putra,Pascabayar,Halo,2022-02-03,1
330,085152830615,Ika Wibowo,Pascabayar,Loop,2023-05-18,FALSE
331,085181121031,Luki Nugroho,Pascabayar,Loop,2023-07-08,FALSE
332,082209112252,Fajar Andriani,Pascabayar!!,Halo,2024-12-05,FALSE
333,083113787655,Galih Purnomo,Prabayar,Loop,2023-02-12,0
334,085181927788,Ahmad Firmansyah,Prabayar,Loop,2023-11-29,false
335,085224561851,Bagas_Lestari,Prabayar,simPATI,2024-10-17,1
336,083139130448,Nur Hidayat,Pascabayar,simPATI,N/A,TRUE
337,081311901707,Kartika Wijaya,Prabayar,,2024-01-10,false
338,085208493783,Zaki Putra,Pascabayar,Halo,2022-05-02,TRUE
339,085301693429,Joko Firmansyah,Prabayar,simPATI,2023-01-13,FALSE
340,081131061537,Nur Wahyudi,Pascabayar,Loop,2022-10-23,FALSE
341,085374604067,Fajar Putra,Pascabayar,Loop,2022-11-21,TRUE
342,083175437347,Ayu Kusuma,Prabayar,Kartu As,2024-03-10,false
343,085201913443,,Prabayar,,2024-12-21,TRUE
344,082293699951,Umar Lestari,Pascabayar,Loop,2024-02-18,false
345,082160376811,Dian Rahayu,Prabayar,Halo,2024-06-22,0
346,082191149830,Fitri Surya,Prabayar,Kartu As,2024-09-01,true
347,081165578201,Dian Lestari,Prabayar,Kartu As,2022-02-13,0
348,081235462127,Bagas Wijaya,Pascabayar,Kartu As,2024-02-14,false
349,085189957298,Kartika Saputra,Pascabayar,simPATI,2023-03-18,0
350,081303818769,Edi Pratama,Prabayar,simPATI,2022-10-04,true
351,085122067323,Joko Surya,Prabayar,Kartu As,2022-07-03,TRUE
352,081115291137,Sari Santoso,Prabayar,Loop,2022-07-21,false
353,081318299874,Luki Lestari,Pascabayar,Loop,2024-10-02,TRUE
354,082236551584,Dewi Santoso,Pascabayar,Loop,2024-12-21,true
355,081170633699,  Andi Andriani  ,Prabayar,simPATI,2024-07-31,true
356,082228773836,Budi Lestari,Prabayar,Loop,2023-01-20,false
357,081303625863,Tari Nugroho,Pascabayar,Halo,2022-08-02,1
358,085235582430,Andi Hidayat,Prabayar,Loop,2022-06-23,1
359,083105040433,Bagas Handoko,Pascabayar,simPATI,2023-03-19,TRUE
360,085171809339,Fira Handoko,Pascabayar,Halo,2022-07-07,true
361,085217868800,Yudi Surya,Pascabayar,Kartu As,N/A,1
362,082291609365,Yudi Lestari,Prabayar,Loop,2023-12-10,true
363,081363223998,Sari Wahyudi,Prabayar,Loop,2022-10-30,TRUE
364,082176660811,Sari Surya,Prabayar,Halo,2022-09-21,TRUE
365,082331234550,Wawan Kusuma,Pascabayar,Kartu As,2024-05-30,1
366,082148087354,Andi Pratama,Prabayar,Loop,2023-05-02,1
367,081185991449,Sari Firmansyah,Prabayar,Halo,2023-01-08,false
368,083171842859,Cindy Firmansyah,Pascabayar,Kartu As,2024-02-26,FALSE
369,085298069087,Citra Susanto,Prabayar,Kartu As,2022-11-14,true
370,082338280405,Nanda Firmansyah,Pascabayar,Kartu As,2024-04-14,FALSE
371,085169656130,Kartika Kusuma,Prabayar,Loop,2024-09-13,FALSE
372,,Sandi Andriani,Pascabayar,simPATI,2024-09-06,FALSE
373,082300168094,Fajar Firmansyah,Pascabayar,Kartu As,2022-06-14,false
374,082240777946,Qori Putra,Pascabayar,LOOP,2022-11-29,false
375,081399140688,Rini Wijaya,Prabayar,Kartu As,2023-06-23,0
376,081132119206,Fitri Handoko,Pascabayar,Loop,2022-08-19,false
377,083102950264,Maya Lestari,Prabayar,Loop,2024-11-11,FALSE
